Concurso;Data_Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecada‡Æo_Total;Ganhadores_15_N£meros;Ganhadores_14_N£meros;Ganhadores_13_N£meros;Ganhadores_12_N£meros;Ganhadores_11_N£meros;Valor_Rateio_15_N£meros;Valor_Rateio_14_N£meros;Valor_Rateio_13_N£meros;Valor_Rateio_12_N£meros;Valor_Rateio_11_N£meros;Acumulado_15_N£meros;Estimativa_Prˆmio;Valor_Acumulado_Especial
1529;26/06/2017;2;3;4;5;8;11;13;14;16;17;18;19;20;21;24;R$ 28.688.292,00;3;367;14577;215162;1207332;R$ 1.476.461,28;R$ 2.133,95;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 49.005.518,54
1530;28/06/2017;2;4;5;7;9;10;12;14;15;16;18;20;22;23;24;R$ 21.444.734,00;41;1719;27240;220736;960961;R$ 34.864,17;R$ 365,51;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 49.335.387,20
1531;30/06/2017;1;2;3;4;7;8;10;11;13;14;15;19;22;23;24;R$ 22.483.898,00;1;534;19757;227784;1128762;R$ 1.371.437,50;R$ 1.128,89;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 49.651.872,78
1532;03/07/2017;1;2;3;8;9;10;11;12;13;14;17;18;20;22;25;R$ 22.544.940,00;3;505;16133;197783;1011034;R$ 579.974,79;R$ 1.514,45;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 50.053.393,79
1533;05/07/2017;1;3;4;6;7;11;12;13;14;15;16;19;20;21;24;R$ 23.351.764,00;2;323;12502;166823;925155;R$ 1.100.549,01;R$ 2.096,78;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 50.561.339,50
1534;07/07/2017;1;4;5;8;9;10;11;12;13;14;16;17;19;21;24;R$ 24.031.176,00;1;357;13908;186284;1034775;R$ 2.051.963,67;R$ 1.768,55;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 51.034.869,58
1535;10/07/2017;3;4;5;7;8;12;13;15;17;18;21;22;23;24;25;R$ 21.625.112,00;5;650;19738;219185;1079157;R$ 264.761,12;R$ 895,21;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 51.340.363,18
1536;12/07/2017;1;3;5;6;7;8;9;10;11;12;13;19;20;23;25;R$ 22.758.330,00;1;388;15719;216487;1172324;R$ 1.424.150,30;R$ 1.613,40;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 51.669.013,25
1537;14/07/2017;1;2;3;4;10;11;13;14;15;17;18;20;21;22;24;R$ 23.033.088,00;1;525;18492;211518;1088193;R$ 1.624.314,63;R$ 1.359,97;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 52.043.855,10
1538;17/07/2017;2;4;5;7;8;9;10;13;14;15;17;18;19;21;23;R$ 21.901.732,00;1;684;21685;231951;1135250;R$ 1.212.090,69;R$ 778,92;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 52.323.568,34
1539;19/07/2017;1;3;4;8;11;12;13;14;16;17;18;19;20;21;25;R$ 21.696.378,00;2;245;10488;147904;902231;R$ 1.001.752,59;R$ 2.516,18;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 52.785.915,70
1540;21/07/2017;1;2;3;7;9;10;11;12;14;15;16;17;19;22;23;R$ 22.288.570,00;2;457;15649;185820;961747;R$ 913.505,11;R$ 1.757,28;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 53.207.533,45
1541;24/07/2017;2;3;4;5;7;11;13;14;15;18;19;20;21;22;25;R$ 22.029.674,00;1;323;12983;175957;1043856;R$ 1.686.669,31;R$ 1.606,74;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 53.596.764,83
1542;26/07/2017;2;3;5;7;8;10;11;13;15;16;17;20;21;22;24;R$ 21.893.648,00;17;1076;22939;210877;997019;R$ 89.845,56;R$ 623,95;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 53.949.235,90
1543;28/07/2017;1;2;6;7;8;9;12;13;15;17;19;20;23;24;25;R$ 22.320.434,00;4;440;15626;181790;981572;R$ 453.023,02;R$ 1.810,28;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 54.367.411,00
1544;31/07/2017;1;2;4;7;8;9;11;12;14;16;17;21;22;23;24;R$ 22.178.914,00;2;480;16574;167962;891221;R$ 995.162,35;R$ 1.822,64;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 54.826.716,70
1545;02/08/2017;3;5;7;8;10;11;12;15;16;17;20;22;23;24;25;R$ 22.726.102,00;2;496;16628;205397;1009896;R$ 872.754,17;R$ 1.546,88;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 55.229.526,32
1546;04/08/2017;1;3;6;7;8;10;11;14;15;18;19;20;22;24;25;R$ 24.039.372,00;1;400;15773;186784;1008447;R$ 2.082.705,71;R$ 1.602,08;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 55.710.150,72
1547;07/08/2017;1;2;5;6;8;9;10;11;13;15;17;18;19;21;25;R$ 22.672.394,00;7;691;20459;233487;1093018;R$ 206.646,18;R$ 920,16;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 56.043.963,78
1548;09/08/2017;2;3;4;9;10;11;12;14;15;17;18;20;21;22;23;R$ 23.873.316,00;3;503;17341;199393;1051216;R$ 637.315,94;R$ 1.670,80;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 56.485.182,51
1549;11/08/2017;1;2;3;4;5;7;8;10;11;13;18;20;23;24;25;R$ 24.317.506,00;5;756;24997;280620;1351401;R$ 217.577,39;R$ 632,52;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 56.736.233,35
1550;14/08/2017;3;4;5;7;8;13;14;15;16;17;20;22;23;24;25;R$ 23.019.028,00;1;731;25237;210990;1040070;R$ 1.649.667,73;R$ 991,96;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 57.116.925,91
1551;16/08/2017;1;3;5;7;8;11;13;14;15;17;19;20;22;23;25;R$ 22.294.526,00;13;1796;39496;328748;1228495;R$ 46.572,15;R$ 148,17;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 57.256.642,37
1552;18/08/2017;2;3;7;8;9;12;14;15;16;19;20;21;22;24;25;R$ 23.809.732,00;6;492;14875;178279;965407;R$ 359.145,75;R$ 1.347,64;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 57.753.921,10
1553;21/08/2017;1;2;4;8;9;11;12;13;15;17;18;19;21;22;25;R$ 22.057.154,00;10;715;17153;198753;995398;R$ 165.935,86;R$ 1.020,12;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 58.136.850,01
1554;23/08/2017;1;3;4;5;7;8;9;10;13;14;16;18;19;24;25;R$ 21.967.954,00;1;396;15241;189771;1006231;R$ 1.672.142,44;R$ 1.856,07;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 58.522.729,04
1555;25/08/2017;1;2;6;8;9;10;12;13;14;16;18;20;22;23;25;R$ 22.438.898,00;6;666;18577;192620;921506;R$ 313.083,77;R$ 1.239,81;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 58.956.229,65
1556;28/08/2017;1;2;3;5;6;8;12;15;16;17;19;21;22;23;25;R$ 21.359.894,00;2;352;14066;163895;859129;R$ 962.407,97;R$ 1.682,53;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 80.000.000,00;R$ 59.400.417,96
1557;07/09/2017;2;3;4;5;6;9;12;16;17;18;20;21;22;24;25;R$ 245.787.050,00;15;3369;133713;1704422;9530997;R$ 5.905.591,00;R$ 2.165,59;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 2.000.000,00;R$ 0,00
1558;11/09/2017;1;2;4;5;6;9;11;14;15;16;17;18;21;22;25;R$ 31.420.152,00;1;464;15432;197287;1177008;R$ 3.196.576,25;R$ 2.119,74;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 737.671,46
1559;13/09/2017;3;4;5;6;7;9;10;11;14;16;18;19;20;23;25;R$ 25.609.662,00;1;306;13415;183053;1038271;R$ 2.373.187,46;R$ 2.386,31;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 1.285.330,10
1560;15/09/2017;1;2;3;4;5;7;8;9;11;14;17;18;20;24;25;R$ 25.285.590,00;3;448;18121;231295;1187773;R$ 606.249,54;R$ 1.784,48;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 1.705.041,33
1561;18/09/2017;3;5;6;7;8;12;13;15;16;18;20;21;22;24;25;R$ 24.074.352,00;4;694;21578;227295;1158073;R$ 404.250,07;R$ 1.024,16;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 2.078.195,24
1562;20/09/2017;1;2;3;4;5;6;7;8;9;11;12;14;16;17;18;R$ 23.718.584,00;9;1246;21768;211804;909389;R$ 228.232,44;R$ 724,63;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 2.552.216,48
1563;22/09/2017;1;2;3;5;6;9;10;12;13;17;18;20;21;22;23;R$ 24.767.548,00;3;484;15869;203418;1106799;R$ 661.969,53;R$ 1.803,56;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 3.010.503,08
1564;25/09/2017;3;4;6;8;9;11;12;13;16;17;18;19;20;21;24;R$ 23.481.030,00;1;294;11240;157925;934325;R$ 2.253.777,85;R$ 2.358,75;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 3.530.605,67
1565;27/09/2017;1;3;6;7;8;9;10;11;12;13;15;17;18;24;25;R$ 22.800.772,00;0;302;12215;175155;1069813;R$ 0,00;R$ 1.835,38;R$ 20,00;R$ 8,00;R$ 4,00;R$ 1.801.426,43;R$ 4.500.000,00;R$ 3.946.319,47
1566;29/09/2017;1;2;4;5;7;8;9;13;14;15;16;19;23;24;25;R$ 32.759.786,00;4;888;27963;301603;1524881;R$ 1.033.839,97;R$ 1.155,29;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 4.484.919,50
1567;02/10/2017;2;3;5;7;9;10;11;12;14;15;17;18;19;21;24;R$ 23.995.586,00;4;1007;25132;234673;1144493;R$ 391.745,70;R$ 683,99;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 4.846.530,92
1568;04/10/2017;1;2;3;4;6;7;10;11;13;16;17;19;21;22;24;R$ 25.106.350,00;7;461;16727;186336;1001823;R$ 328.308,66;R$ 1.533,90;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 5.376.875,69
1569;06/10/2017;2;4;8;9;10;12;13;14;16;18;20;21;23;24;25;R$ 25.777.738,00;3;907;27102;264669;1182057;R$ 574.338,06;R$ 835,02;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 5.774.494,35
1570;09/10/2017;1;3;7;8;9;11;13;16;18;19;20;21;23;24;25;R$ 24.196.610,00;2;517;21036;248012;1193609;R$ 752.980,58;R$ 1.280,38;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 6.122.023,85
1571;11/10/2017;1;3;4;5;6;7;11;12;14;17;18;19;23;24;25;R$ 24.382.116,00;1;478;17195;189481;1074180;R$ 2.007.916,93;R$ 1.846,44;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 6.585.389,30
1572;13/10/2017;2;4;5;6;8;9;10;13;16;18;19;21;22;23;24;R$ 20.353.318,00;1;321;13173;162129;867866;R$ 1.724.932,85;R$ 1.653,43;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 6.983.450,73
1573;16/10/2017;2;6;7;8;10;11;12;13;14;15;16;17;18;19;23;R$ 22.259.988,00;4;334;19274;140227;852031;R$ 538.506,71;R$ 1.984,36;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 7.480.533,86
1574;18/10/2017;1;2;3;5;6;7;10;11;12;14;15;17;18;21;22;R$ 23.287.402,00;3;449;15503;184478;1006630;R$ 649.515,16;R$ 1.335,31;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 7.930.198,21
1575;20/10/2017;1;3;5;6;7;9;10;11;12;14;16;17;22;23;25;R$ 24.257.154,00;2;600;16742;189296;1017738;R$ 1.045.394,82;R$ 1.531,71;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 8.412.688,14
1576;23/10/2017;1;2;5;7;8;9;11;12;14;15;16;18;20;21;25;R$ 22.406.340,00;6;585;16834;184799;968851;R$ 305.040,45;R$ 1.375,21;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 8.835.051,85
1577;25/10/2017;3;5;6;7;9;10;11;13;15;16;17;18;19;21;24;R$ 22.572.000,00;2;568;20008;229079;1094091;R$ 722.458,99;R$ 1.118,18;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 9.168.494,47
1578;27/10/2017;4;6;8;9;10;12;13;14;16;17;18;19;21;22;24;R$ 23.646.724,00;2;452;17592;207086;992894;R$ 971.557,19;R$ 1.889,63;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 9.616.905,49
1579;30/10/2017;1;2;4;6;7;10;12;13;14;15;16;18;21;22;23;R$ 22.590.116,00;0;340;11866;157772;902522;R$ 0,00;R$ 1.928,32;R$ 20,00;R$ 8,00;R$ 4,00;R$ 2.130.796,45;R$ 5.100.000,00;R$ 10.108.627,75
1580;01/11/2017;3;4;7;10;11;12;13;14;15;16;18;20;22;23;25;R$ 34.713.812,00;4;571;22650;281957;1557153;R$ 1.227.816,30;R$ 1.498,30;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 10.750.274,39
1581;03/11/2017;3;4;5;6;7;8;11;12;13;16;20;21;23;24;25;R$ 21.201.994,00;2;335;11925;150589;906425;R$ 937.755,04;R$ 1.722,63;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 11.183.084,41
1582;06/11/2017;1;2;5;7;8;10;11;14;16;17;18;19;23;24;25;R$ 23.876.602,00;4;513;16435;198691;1059517;R$ 477.072,00;R$ 1.635,10;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 11.623.458,56
1583;08/11/2017;2;3;4;6;7;9;10;14;15;16;17;19;20;23;25;R$ 24.657.558,00;2;350;13874;172953;953436;R$ 1.186.191,00;R$ 2.085,61;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 12.170.931,34
1584;10/11/2017;1;2;3;5;6;11;12;14;15;16;17;19;20;24;25;R$ 24.577.920,00;0;251;11863;154520;943372;R$ 0,00;R$ 3.016,11;R$ 20,00;R$ 8,00;R$ 4,00;R$ 2.460.386,95;R$ 5.700.000,00;R$ 12.738.712,95
1585;13/11/2017;1;2;4;5;6;7;9;11;17;18;19;21;23;24;25;R$ 33.484.424,00;1;490;22052;295431;1499128;R$ 5.060.374,07;R$ 1.632,64;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 13.338.709,98
1586;16/11/2017;1;3;4;10;11;12;13;16;18;19;20;22;23;24;25;R$ 19.735.096,00;1;270;12005;161819;872253;R$ 1.606.768,08;R$ 1.831,08;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.000.000,00;R$ 13.709.502,62
1587;17/11/2017;2;3;5;7;8;11;14;15;16;17;19;20;21;22;25;R$ 17.790.392,00;5;383;12492;146160;760720;R$ 295.750,66;R$ 1.697,13;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 14.050.753,38
1588;20/11/2017;1;3;4;5;7;9;10;11;14;15;17;20;21;22;23;R$ 18.025.338,00;4;446;13786;164027;826317;R$ 332.224,00;R$ 1.309,70;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 14.357.421,70
1589;22/11/2017;1;2;3;4;6;12;13;14;15;17;18;22;23;24;25;R$ 22.511.996,00;2;559;16007;182155;981271;R$ 922.813,85;R$ 1.451,27;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 14.783.335,80
1590;24/11/2017;1;3;5;7;8;10;14;16;17;18;20;21;22;23;25;R$ 22.628.756,00;1;473;18126;199170;1044815;R$ 1.671.789,78;R$ 1.553,59;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 15.169.133,45
1591;27/11/2017;1;3;5;7;8;10;11;12;17;19;20;21;22;23;24;R$ 22.047.056,00;1;699;19845;207766;1050551;R$ 1.499.683,86;R$ 943,06;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 15.515.214,35
1592;29/11/2017;1;2;3;4;5;6;9;12;14;15;16;19;20;22;25;R$ 22.150.422,00;0;337;12177;168761;899895;R$ 0,00;R$ 1.831,57;R$ 20,00;R$ 8,00;R$ 4,00;R$ 2.006.022,61;R$ 5.000.000,00;R$ 15.978.142,65
1593;01/12/2017;3;4;5;7;8;9;10;11;13;14;16;17;20;22;24;R$ 33.575.044,00;3;728;23726;291218;1503688;R$ 1.538.562,09;R$ 1.575,69;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 16.580.372,73
1594;04/12/2017;1;2;4;6;8;10;11;12;13;15;16;17;19;21;25;R$ 24.043.154,00;4;956;22396;214557;1002674;R$ 483.148,87;R$ 888,59;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 17.026.356,32
1595;06/12/2017;1;2;3;4;6;7;9;10;11;13;17;18;20;22;25;R$ 24.618.368,00;3;479;18006;209603;1090782;R$ 647.891,76;R$ 1.783,63;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 17.474.896,77
1596;08/12/2017;5;8;9;10;11;12;13;15;18;19;20;21;22;23;24;R$ 23.684.896,00;4;541;18427;200824;1069938;R$ 456.404,62;R$ 1.483,30;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 17.896.193,35
1597;11/12/2017;1;2;5;6;7;8;9;13;17;18;19;20;21;22;24;R$ 23.245.414,00;4;281;11746;161569;958646;R$ 536.293,04;R$ 2.348,95;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 18.391.233,08
1598;13/12/2017;2;5;6;7;10;12;13;15;16;17;18;19;20;21;24;R$ 23.741.292,00;2;379;14366;180080;1002333;R$ 1.036.123,18;R$ 1.682,36;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 18.869.443,79
1599;15/12/2017;1;3;4;5;6;8;9;10;14;18;20;21;22;23;25;R$ 24.725.524,00;1;362;15774;208269;1086719;R$ 1.997.372,26;R$ 1.697,72;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 19.330.375,85
1600;18/12/2017;2;3;4;5;7;9;13;14;16;17;18;20;22;23;24;R$ 23.164.420,00;1;563;19729;226236;1067704;R$ 1.622.678,22;R$ 1.266,90;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 19.704.840,06
1601;20/12/2017;2;4;6;8;9;10;11;12;13;14;15;18;20;22;25;R$ 23.676.286,00;3;444;16868;201579;1053750;R$ 621.607,05;R$ 1.846,17;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 20.135.183,41
1602;22/12/2017;1;3;4;8;9;10;11;13;14;15;17;19;21;23;24;R$ 24.966.722,00;8;1028;26581;264347;1236418;R$ 183.753,27;R$ 628,56;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 20.474.420,22
1603;26/12/2017;1;2;3;4;7;9;10;13;14;16;19;20;21;23;24;R$ 18.171.076,00;5;401;13002;154599;810489;R$ 285.580,11;R$ 1.565,20;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.200.000,00;R$ 20.803.935,74
1604;27/12/2017;3;4;5;6;7;8;9;10;12;13;15;19;21;22;24;R$ 16.574.400,00;2;189;8914;119652;727692;R$ 714.035,91;R$ 2.324,91;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 21.133.490,77
1605;29/12/2017;2;4;5;8;9;10;11;14;16;17;18;19;21;23;25;R$ 24.659.910,00;4;409;15857;200355;1049338;R$ 520.128,92;R$ 1.565,18;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 21.613.609,78
1606;02/01/2018;1;3;5;7;8;9;10;11;14;15;19;20;22;23;25;R$ 17.507.982,00;5;509;16477;181925;872721;R$ 210.552,21;R$ 909,13;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.200.000,00;R$ 21.856.554,64
1607;03/01/2018;1;2;3;6;7;8;9;11;12;13;14;15;17;18;24;R$ 16.897.284,00;0;285;12289;153609;745762;R$ 0,00;R$ 1.408,43;R$ 20,00;R$ 8,00;R$ 4,00;R$ 1.304.553,84;R$ 3.000.000,00;R$ 22.157.605,53
1608;05/01/2018;1;2;3;5;6;9;10;14;17;18;20;21;22;23;25;R$ 32.934.896,00;5;601;28212;260342;1438396;R$ 795.670,54;R$ 1.368,90;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 22.774.636,04
1609;08/01/2018;5;6;7;8;9;11;13;14;17;18;20;21;23;24;25;R$ 24.548.618,00;2;470;17235;211658;1156345;R$ 905.064,54;R$ 1.692,89;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 23.192.358,14
1610;10/01/2018;3;6;7;9;10;11;13;14;16;17;19;20;21;22;24;R$ 25.374.588,00;6;545;18131;212670;1080628;R$ 349.835,07;R$ 1.692,92;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 23.676.745,17
1611;12/01/2018;1;3;4;6;7;8;9;10;11;12;14;15;20;22;24;R$ 26.687.938,00;1;301;13102;209937;1079967;R$ 2.414.969,61;R$ 2.468,67;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 24.234.045,85
1612;15/01/2018;2;3;4;5;7;11;12;14;15;18;21;22;23;24;25;R$ 25.109.276,00;0;384;22917;177047;1042520;R$ 0,00;R$ 1.764,54;R$ 20,00;R$ 8,00;R$ 4,00;R$ 2.202.152,17;R$ 4.500.000,00;R$ 24.742.234,82
1613;17/01/2018;1;2;3;4;6;8;9;10;13;14;16;17;18;19;21;R$ 36.295.388,00;5;691;24347;298220;1550596;R$ 1.046.372,70;R$ 1.349,09;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 25.441.398,97
1614;19/01/2018;1;2;3;7;9;10;12;13;14;15;16;17;19;21;23;R$ 26.894.118,00;3;611;21536;252444;1271281;R$ 625.323,35;R$ 1.349,59;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 25.874.315,14
1615;22/01/2018;1;2;4;5;6;7;9;10;11;16;17;19;20;21;25;R$ 24.671.390,00;3;443;16506;186909;1029350;R$ 720.731,90;R$ 1.501,78;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 26.373.283,39
1616;24/01/2018;1;2;4;5;8;10;11;13;14;16;17;18;22;23;24;R$ 24.347.296,00;0;515;16738;203800;1061969;R$ 0,00;R$ 1.685,95;R$ 20,00;R$ 8,00;R$ 4,00;R$ 1.975.310,61;R$ 5.000.000,00;R$ 26.829.124,31
1617;26/01/2018;2;5;6;7;8;9;10;12;13;14;15;20;22;23;25;R$ 35.216.586,00;1;418;18288;269017;1567862;R$ 4.922.251,53;R$ 2.169,26;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 27.509.187,61
1618;29/01/2018;1;3;4;5;8;9;10;13;14;16;17;19;20;24;25;R$ 24.491.088,00;4;499;18033;207425;1091113;R$ 481.412,61;R$ 1.696,27;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 27.953.568,49
1619;31/01/2018;4;5;7;8;10;11;13;15;16;17;18;21;22;24;25;R$ 25.359.900,00;1;475;18088;210326;1097560;R$ 2.074.220,59;R$ 1.343,63;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 28.432.234,78
1620;02/02/2018;1;2;4;7;9;10;11;12;13;14;18;20;21;24;25;R$ 27.037.656,00;4;755;23190;253914;1273424;R$ 469.994,73;R$ 1.094,52;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 28.866.076,07
1621;05/02/2018;2;3;4;6;8;9;10;13;14;18;19;21;22;23;24;R$ 25.491.286,00;7;640;22099;246460;1154697;R$ 261.159,69;R$ 1.255,57;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 29.287.949,43
1622;07/02/2018;1;2;3;4;8;9;11;16;17;18;20;22;23;24;25;R$ 26.316.156,00;1;511;14695;178526;1047774;R$ 2.500.070,61;R$ 1.505,39;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.700.000,00;R$ 29.864.888,81
1623;09/02/2018;1;2;3;4;6;7;8;10;11;13;14;17;19;20;24;R$ 26.417.718,00;5;625;22460;254494;1299489;R$ 342.959,26;R$ 1.206,01;R$ 20,00;R$ 8,00;R$ 4,00;R$ 0,00;R$ 1.500.000,00;R$ 30.260.611,04
1624;14/02/2018;1;2;6;7;8;9;11;14;15;16;17;18;20;23;24;R$ 23.150.418,00;0;247;9742;140074;866367;R$ 0,00;R$ 2.978,34;R$ 20,00;R$ 8,00;R$ 4,00;R$ 2.390.861,19;R$ 5.500.000,00;R$ 30.812.348,24
